1	0	0	0
1001	-3.476	-6.581	0
1002	2.788	-7.512	-0.166
1003	-2.361	-5.356	0.054
1004	0.867	-5.137	0.059
1005	-1.256	-5.097	-0.043
1006	-0.946	-6.47	-0.624
1007	2.062	-7.664	-0.28
1008	-0.173	-4.882	0.076
1009	-2.382	-6.799	-0.224
1010	0.084	-6.598	-0.633
1011	-1.644	-6.174	-0.419
1012	-7.04	-7.85	0.224
1013	1.171	-7.102	-0.346
1014	0.649	-6.304	-0.343
1015	-4.804	-3.919	0.199
1016	-0.938	-6.501	-0.634
1017	-0.534	-5.865	-0.49
1018	-4.977	-8.791	0.086
1019	-0.438	-6.303	-0.62
1020	-3.71	-11.137	0.201
1021	-11.781	-4.734	0.065
1022	-0.854	-8.103	0.219
1023	-3.208	-7.74	-0.071
1024	-1.037	-9.994	0.302
1025	-1.332	-9.864	0.35
1026	-2.554	-7.921	-0.161
1027	-2.408	-9.294	0.099
1030	-2.915	-13.676	0.349
1031	-5.5	-28.631	0.05
1032	-4.406	-23.515	-0.009
1033	-5.904	-21.097	0.231
1034	-4.081	-23.491	0.059
1035	-2.254	-17.663	0.186
1036	-4.947	-21.667	-0.03
1037	-9.305	-31.082	0.021
1038	-8.11	-32.427	0.014
1039	-7.251	-27.454	-0.026
1040	-1.593	-13.24	0.304
1041	1.145	-7.705	-0.432
1042	0.289	-9.52	0.04
1043	3.195	10.396	-0.205
1044	12.197	-2.493	-0.435
1045	-3.467	-9.077	-0.004
1046	5.975	-3.676	-0.247
1047	1.615	-8.344	-0.415
1048	1.006	-8.389	-0.39
1049	0.946	-7.852	-0.412
1050	-11.498	-43.079	0.007
1051	-9.378	-40.515	-0.005
1052	-7.649	-25.857	0.001
1053	-12.1	-33.827	-0.008
1054	-9.574	-38.266	0.049
1055	-8.9	-24.354	0.243
1056	-12.342	-40.257	0
1057	-8.348	-40.883	-0.045
1058	-20.534	-34.822	0.034
1059	-9.996	-38.201	-0.026
1060	1.02	-26.788	-0.142
1061	-5.01	-37.483	-0.029
1062	-8.515	-43.46	0.014
1063	-5.727	-32.787	0.144
1064	-1.679	-8.723	0.183
1065	1.601	-24.403	-0.054
1066	-1.807	-31.585	-0.059
1067	4.163	-44.665	-0.179
1068	-6.253	-43.863	-0.002
1069	-4.445	-32.502	0.041
1070	-1.094	-22.069	-0.096
1071	-1.976	-19.955	0.042
1072	-0.611	-17.653	0.252
1073	-0.547	-20.243	0.096
1074	-2.997	-25.962	0.012
1075	5.944	-13.553	-0.387
1076	0.588	-13.03	0.331
1077	2.007	-17.112	0.085
1078	2.008	-12.531	-0.026
1079	-1.484	-17.164	0.123
1080	-0.513	-12.239	0.35
1081	-0.459	-10.77	0.305
1082	-0.705	-14.44	0.304
1083	3.552	-11.247	-0.155
1084	-0.648	-11.276	0.257
1085	3.42	-9.38	-0.18
1086	-0.899	-25.82	-0.052
1087	-0.064	-11.255	0.377
1088	-0.859	-14.596	0.229
1089	6.274	-22.345	-0.376
1090	0.443	-8.081	-0.191
1091	0.33	-8.862	-0.05
1092	-0.145	-8.762	0.177
1093	2.156	-9.093	-0.232
1094	1.444	-10.9	0.055
1095	0.82	-9.185	-0.128
1096	0.199	-10.212	0.223
1097	0.044	-8.226	-0.035
1098	1.319	-9.062	-0.322
1099	1.193	-9.729	-0.105
1100	-2.207	-10.249	0.223
1101	-1.127	-8.494	0.225
1102	-1.086	-7.747	0.017
2029	-1.835	-7.137	-0.424
3000	23.674	-2.958	-0.77
9999	-13.473	0	0.165
